0.000, 0.2283
0.050, 0.2283
0.100, 0.2282
0.150, 0.2281
0.200, 0.2281
0.250, 0.2281
0.300, 0.2281
0.350, 0.2281
0.400, 0.2281
0.450, 0.2281
0.500, 0.2281
0.550, 0.2281
0.600, 0.2281
0.650, 0.2281
0.700, 0.2288
0.725, 0.2296
0.750, 0.2307
0.775, 0.2320
0.800, 0.2334
0.825, 0.2359
0.850, 0.2389
0.875, 0.2480
0.900, 0.2604
0.925, 0.2819
0.950, 0.3111
0.975, 0.3496
1.000, 0.3975
1.025, 0.4530
1.050, 0.5010
1.075, 0.5476
1.100, 0.5719
1.125, 0.5895
1.150, 0.5943
1.175, 0.5933
1.200, 0.5881
1.225, 0.5810
1.250, 0.5736
1.275, 0.5690
1.300, 0.5651
1.325, 0.5629
1.350, 0.5609
1.375, 0.5591
1.400, 0.5575
1.425, 0.5558
1.450, 0.5543
1.475, 0.5527
1.500, 0.5513
1.525, 0.5499
1.550, 0.5485
1.575, 0.5472
1.600, 0.5460
1.625, 0.5449
1.650, 0.5438
1.675, 0.5428
1.700, 0.5419
1.725, 0.5410
1.750, 0.5401
1.775, 0.5393
1.800, 0.5385
1.825, 0.5377
1.850, 0.5369
1.875, 0.5361
1.900, 0.5354
1.925, 0.5346
1.950, 0.5338
2.000, 0.5323
2.100, 0.5294
2.200, 0.5267
2.300, 0.5240
2.400, 0.5216
2.500, 0.5193
2.600, 0.5170
2.650, 0.5160
2.700, 0.5149
2.800, 0.5129
2.900, 0.5109
3.000, 0.5091
3.100, 0.5074
3.200, 0.5058
3.300, 0.5043
3.400, 0.5029
3.500, 0.5017
3.600, 0.5006
3.700, 0.4995
3.800, 0.4986
3.900, 0.4977
4.000, 0.4969
